HydA_97_20100324113522,5, 9, 13, 17, 4, 7, 11, 15, 2, 6, 9, 13, 0, 4, 8, 11	
HydA_97_20100324121018,6, 9, 11, 14, 4, 7, 9, 12, 2, 5, 7, 10, 0, 3, 5, 8	
HydA_97_20100324124514,6, 7, 9, 10, 4, 5, 7, 8, 2, 3, 5, 6, 0, 1, 3, 4	
HydA_97_20100324132010,6, 6, 6, 6, 4, 4, 4, 4, 2, 2, 2, 2, 0, 0, 0, 0	
HydA_97_20100324135507,9, 8, 7, 6, 7, 6, 5, 4, 5, 4, 3, 2, 3, 2, 1, 0	
HydA_97_20100324143002,13, 11, 8, 6, 11, 9, 6, 4, 9, 7, 4, 2, 7, 5, 2, 0	
HydA_97_20100324150458,16, 13, 9, 6, 14, 11, 7, 4, 13, 9, 6, 2, 11, 7, 4, 0	
HydA_97_20100324153954,18, 13, 9, 4, 17, 12, 7, 3, 15, 10, 6, 1, 14, 9, 4, 0	
HydA_97_20100328124946,6, 7, 8, 8, 4, 5, 5, 6, 2, 3, 3, 4, 0, 1, 1, 2	
HydA_97_20100328132442,8, 8, 7, 6, 6, 5, 5, 4, 4, 3, 3, 2, 2, 1, 1, 0	
HydA_97_20100328134738,10, 9, 7, 6, 8, 7, 5, 4, 6, 5, 3, 2, 4, 3, 1, 0	
HydA_97_20100328142235,14, 11, 9, 6, 12, 9, 7, 4, 10, 7, 5, 2, 8, 5, 3, 0	
HydA_97_20100328145730,17, 13, 9, 5, 15, 11, 7, 4, 13, 10, 6, 2, 12, 8, 4, 0	
HydA_97_20100328153226,19, 14, 9, 4, 18, 13, 8, 3, 16, 11, 6, 2, 15, 10, 5, 0	
HydA_97_20100328155522,20, 14, 9, 3, 19, 13, 8, 2, 17, 12, 6, 1, 16, 11, 5, 0	
